,f_lat,f_long
0,-38.42789814,258.5203072
1,-68.12885267,289.500243
2,-37.63860932,56.45265188
3,-20.21473587,115.1458332
4,-0.225134586,174.950253
5,-22.61014075,117.4494209
6,-31.56250109,132.9303868
7,0.354852953,191.9125748
8,-20.68847503,115.4672334
9,6.124216057,26.2704168
10,-3.222970417,232.6464683
11,-0.223745322,174.8970762
12,-0.223745322,174.8970762
13,-0.224201212,174.8977738
14,-0.224201212,174.8977738
15,-0.238684293,174.8816687
16,-0.238684293,174.8816687
17,-0.238684293,174.8816687
18,-0.238684293,174.8816687
19,-0.238684293,174.8816687
20,-0.238684293,174.8816687
21,16.73499503,278.0027762
22,-53.68975132,334.1031418
23,-2.155706066,173.6359678
24,-0.231291383,174.8894891
25,-0.231291383,174.8894891
26,-0.231291383,174.8894891
27,-0.231291383,174.8894891
28,-0.231291383,174.8894891
29,-8.42895323,32.89128635
30,-0.231291383,174.8894891
31,35.35669551,238.0691039
32,-60.83079004,19.7239951
33,-21.20616478,124.8483044
34,-0.369449606,245.0032954
35,27.18703058,220.3593626
36,-8.79430091,252.6770554
37,-0.220923739,174.880005
38,4.791222604,167.8699492
39,-20.29234229,109.3947838
40,-50.08251558,337.7069906
41,-49.96341607,1.837239136
42,4.791222604,167.8699492
43,-52.72739597,274.3436643
44,-50.45692075,329.6800928
45,-0.220999731,174.8801213
46,-49.55767405,36.62477861
47,48.64425807,294.8594302
48,50.54886422,281.7931192
49,-48.5181914,54.2136596
50,-53.03038273,38.26696916
51,-51.75508829,205.6697624
52,6.512199459,332.5166091
53,-46.56080123,196.4604977
54,-49.35456199,271.0119143
55,-51.30140408,10.61974507
56,-49.72268064,197.5615219
57,54.02640071,331.046833
58,-48.6133865,330.4727837
59,-51.127002,6.017213497
60,-50.57986919,3.07446078
61,53.41100814,342.6104301
62,-20.24865252,14.25136564
63,-20.71071767,119.2729465
64,-21.37454715,240.3487676
65,75.68549545,276.0333385
66,-3.757772403,220.0569824
67,-65.1661698,350.5174318
68,51.01204478,349.3757186
69,21.29979477,147.2623006
70,85.61743453,24.46344953
71,61.15694723,115.2619677
72,15.66885568,156.8936032
73,25.11563989,125.1002285
74,15.45039003,109.1940716
75,38.41817535,112.2577102
76,14.09743993,180.6447542
77,33.8546213,124.7190693
78,17.98233998,124.0123124
79,16.55592813,136.4718987
80,37.63044889,108.5835333
81,53.98126554,68.29682274
82,26.21454537,113.1347043
83,40.62803245,217.1696434
84,60.29367327,130.8202923
85,-14.64264764,77.82046074
86,-42.96848887,112.1172332
87,15.68984085,129.3543431
88,26.55006152,122.3122729
89,62.04062218,160.714913
90,42.65624829,126.4511394
91,42.86561581,124.6612056
92,33.65083855,160.8954866
93,25.43579861,122.2483605
94,26.694326,128.9462231
95,16.55592813,136.4718987
96,9.99365216,48.02498587
97,60.94960092,36.11554723
98,18.22724108,118.8298467
99,3.725030865,129.7108258
100,21.74876842,172.2015289
101,16.55592813,136.4718987
102,35.38937949,111.9331234
103,17.11471203,98.12927059
104,16.55592813,136.4718987
105,-56.132413,109.3520175
106,-5.85675531,176.9138154
107,53.61016699,124.2551231
108,-54.23462204,151.0243787
109,9.283625054,112.6211392
110,13.81331382,109.7992361
111,36.81991344,346.8212609
112,48.07769455,37.74081355
113,61.62053302,156.942165
114,-21.96735357,142.1587444
115,-49.53195523,3.506834154
116,21.05503526,134.2807743
117,46.56921679,210.3964284
118,-8.583640712,74.23495697
119,51.97843898,113.4617741
120,31.49774773,63.23607273
121,17.77533274,162.975842
122,49.50905348,191.2121899
