,f_lat,f_long,fv_redshift,f_ra_deg,f_dec_deg
0,-38.427898136331386,258.52030724808384,0.341,74.33333333333333,-51.39305555555556
1,-68.12885267168046,289.5002430107531,0.1758,20.320833333333333,-48.21361111111111
2,-37.63860931928532,56.45265187807289,0.5976,326.3,0.1602777777777777
3,-20.21473586791659,115.14583324280729,0.6663,3.0,42.06
4,-0.2251345859111878,174.95025300049917,0.2985,83.0375,33.08694444444445
5,-22.610140747833047,117.44942085012114,0.1739,6.25,39.98
6,-31.562501087223634,132.93038683322357,0.8491,22.75,30.540000000000003
7,0.35485295322227,191.91257483806334,0.1274,93.25,18.786444444444445
8,-20.688475028438226,115.46723342781976,0.4989,3.5,41.64
9,6.124216057332404,26.270416796687304,0.7984,274.3625,-3.095833333333333
10,-3.222970417110891,232.64646827679235,0.4691,109.14583333333331,-18.988888888888887
11,-0.22374532171776915,174.89707624118785,0.3015,83.00416666666666,33.132222222222225
12,-0.22374532171776915,174.89707624118785,0.307,83.00416666666666,33.132222222222225
13,-0.22420121240179403,174.8977738195451,0.2966,83.00416666666666,33.13138888888889
14,-0.22420121240179403,174.8977738195451,0.2995,83.00416666666666,33.13138888888889
15,-0.23868429345609865,174.88166867747768,0.3006,82.97916666666667,33.136944444444445
16,-0.23868429345609865,174.88166867747768,0.3006,82.97916666666667,33.136944444444445
17,-0.23868429345609865,174.88166867747768,0.2981,82.97916666666667,33.136944444444445
18,-0.23868429345609865,174.88166867747768,0.299,82.97916666666667,33.136944444444445
19,-0.23868429345609865,174.88166867747768,0.3003,82.97916666666667,33.136944444444445
20,-0.23868429345609865,174.88166867747768,0.2981,82.97916666666667,33.136944444444445
21,16.734995032724058,278.0027762237775,1.4093,161.10833333333332,-39.91027777777778
22,-53.6897513232476,334.1031417534844,0.2708,340.62916666666666,-54.92166666666667
23,-2.1557060657492713,173.63596778344265,0.3235,80.25,33.1
24,-0.23129138256273796,174.88948908574415,0.3014,82.99166666666666,33.13444444444444
25,-0.23129138256273796,174.88948908574415,0.3062,82.99166666666666,33.13444444444444
26,-0.23129138256273796,174.88948908574415,0.3097,82.99166666666666,33.13444444444444
27,-0.23129138256273796,174.88948908574415,0.3015,82.99166666666666,33.13444444444444
28,-0.23129138256273796,174.88948908574415,0.3015,82.99166666666666,33.13444444444444
29,-8.428953230336672,32.891286347998026,1.6824,290.3541666666667,-3.868333333333333
30,-0.23129138256273796,174.88948908574415,0.3001,82.99166666666666,33.13444444444444
31,35.356695513048855,238.06910387130145,0.8986,145.20833333333334,-2.5486111111111107
32,-60.83079003586321,19.723995099771866,2.5489,339.70416666666665,-29.819444444444443
33,-21.20616478271896,124.8483044342837,1.1515,15.25,41.63
34,-0.36944960556292594,245.0032953805295,0.7597,118.44583333333334,-28.391388888888887
35,27.18703058235977,220.35936263039588,0.2515,130.35416666666666,6.084722222222222
36,-8.79430090995518,252.67705539246043,0.3965,114.175,-39.20222222222223
37,-0.2209237394137553,174.88000500248657,0.3079,82.99583333333334,33.14805555555556
38,4.7912226036220975,167.86994920706658,1.4537,83.5,41.75
39,-20.29234229447057,109.39478377570838,0.2592,356.0,40.8
40,-50.08251558412389,337.7069905995705,0.5113,333.25,-54.96666666666667
41,-49.96341607152513,1.8372391361360452,0.9357,326.75,-40.15
42,-52.727395971428855,274.3436642836116,0.2401,44.75,-56.73333333333333
43,-50.45692074621198,329.680092785825,0.3128,339.0,-59.05
44,-0.22099973057522543,174.88012125939107,0.3061,82.99583333333334,33.14791666666667
45,-49.55767404865811,36.62477861485359,0.3892,329.95,-18.05
46,48.64425807099519,294.85943020289335,0.4538,187.375,-13.883333333333333
47,50.548864222699024,281.79311922234774,0.2996,179.4,-10.1
48,-48.51819140318726,54.21365960362304,0.4549,334.375,-7.333333333333333
49,-53.03038273460533,38.2669691577288,0.1119,333.75,-18.33333333333333
50,-51.755088289867565,205.66976236184502,0.5911,52.75,-16.766666666666666
51,6.512199459476706,332.5166091012003,1.1738,237.60416666666663,-45.82777777777778
