#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
169;J0410-31;0.532340;9.20;
170;J0413+58;1.455604;57.00;
171;J0414+31;0.925069;64.10;
172;J0415+6954;2.559410;27.45;
173;J0417+35;1.528117;48.53;
174;J0417+61;2.271266;70.14;
175;J0418-4154;1.320796;24.32;
176;J0418+5732;0.110152;*;
177;J0418+6635;343.642612;77.60;
178;J0419+44;0.805802;71.00;
179;J0420-5022;0.289603;*;
180;J0421-0345;0.462683;44.61;
181;J0421+3255;1.110981;77.02;
182;J0426+4933;1.084041;84.30;
183;J0435+2749;3.064857;53.19;
184;J0437-4715;173.687946;2.64;
185;J0447-04;0.456999;29.83;
186;J0448-2749;2.220010;26.22;
187;J0449-7031;2.086968;65.83;
188;J0450-1248;2.283031;37.04;
189;J0451-67;4.074078;45.00;
190;J0452-1759;1.821695;39.90;
191;J0453+1559;21.842733;30.31;
192;J0454+4529;0.719871;20.83;
193;J0454+5543;2.934880;14.59;
194;J0455-6951;3.120877;94.89;
195;J0456-69;8.541675;103.00;
196;J0456-7031;1.249794;100.30;
197;J0457+23;1.980590;59.00;
198;J0457-6337;0.400479;27.50;
199;J0457-69;4.321701;91.00;
200;J0458-0505;0.530932;47.81;
201;J0458-67;0.881912;97.00;
202;J0459-0210;0.882553;21.02;
203;J0501+4516;0.173548;*;
204;J0502+4654;1.566010;41.83;
205;J0502-6617;1.446652;68.90;
206;J0506+50;294.985251;43.40;
207;J0509+0856;246.558157;38.32;
208;J0509+3801;13.064834;69.08;
209;J0511-6508;3.104994;25.66;
210;J0514-4002A;200.377707;52.14;
211;J0514-4408;3.122357;15.12;
212;J0517+2212;4.497080;18.70;
213;J0518+5125;1.095876;39.24;
214;J0518+5416;2.939424;42.33;
215;J0519+44;1.941748;52.00;
216;J0519-6932;3.799224;119.40;
217;J0520-2553;4.138350;33.77;
218;J0521-68;2.307227;136.00;
219;J0522-6847;1.482510;126.45;
220;J0525+1115;2.821371;79.42;
221;J0525-6607;0.124270;*;
222;J0528+2200;0.266984;50.87;
223;J0529-0715;1.450908;87.30;
224;J0529-6652;1.024867;103.20;
225;J0530-39;1.102536;48.50;
226;J0532-6639;1.555832;69.30;
227;J0532-69;0.870174;124.00;
228;J0533+0402;1.038402;83.70;
229;J0533-4524;6.357905;18.93;
230;J0533+6759;227.885949;57.37;
231;J0534-13;1.021450;74.30;
232;J0534+2200;29.946923;56.77;
233;J0534+34;*;24.50;
234;J0534-6703;0.550187;94.70;
235;J0535-66;4.750044;75.00;
236;J0535-6935;4.987249;93.70;
237;J0536-7543;0.802661;18.58;
238;J0537-69;8.879953;273.00;
239;J0537-6910;62.026190;*;
240;J0538+2817;6.985276;39.57;
241;J0540+3207;1.907411;61.97;
242;J0540-6919;19.774686;147.20;
243;J0540-7125;0.777596;29.41;
244;J0542-68;2.351895;114.00;
245;J0543+2329;4.065458;77.70;
246;J0543-6851;1.410528;131.00;
247;J0544+20;*;56.90;
248;J0545-03;0.931159;67.20;
249;J0546+2441;0.351636;73.81;
250;J0550+09;0.573066;86.60;
251;J0554+3107;2.150718;*;
252;J0555+3948;0.871911;36.10;
253;J0555-7056;1.207966;73.40;
254;J0557+1550;391.180128;102.57;
255;J0557-2948;22.913372;49.05;
256;J0600-5756;0.442211;30.00;
257;J0601-0527;2.525449;80.54;
258;J0605+3757;366.575075;20.95;
259;J0608+00;0.929195;48.50;
260;J0608+1635;1.057256;86.08;
261;J0609+2130;17.953962;38.73;
262;J0610-2100;258.978479;60.67;
263;J0611+04;0.597218;69.90;
264;J0611+1436;3.699190;43.99;
265;J0611+30;0.708170;45.26;
266;J0612+3721;3.355904;27.15;
267;J0612+37216;2.252905;39.27;
268;J0613-0200;326.600562;38.76;
269;J0613+3731;1.614992;18.99;
270;J0614+2229;2.985431;96.91;
271;J0614-3329;317.594455;37.05;
272;J0614+83;0.962276;44.20;
273;J0621+0336;3.704334;72.53;
274;J0621+1002;34.657407;36.47;
275;J0621+2514;367.405552;83.63;
276;J0621-55;*;22.00;
277;J0622+3749;3.001126;*;
278;J0623+0340;1.629302;54.00;
279;J0624-0424;0.962393;70.83;
280;J0625+10;2.006433;78.00;
281;J0627+0649;2.885815;86.60;
282;J0627+0706;2.101348;138.25;
283;J0627+16;0.458716;113.00;
284;J0628+0909;0.805528;88.30;
285;J0629+2415;2.098095;84.18;
286;J0630-0046;1.469346;97.90;
287;J0630+19;0.800929;48.10;
288;J0630-2834;0.803588;34.42;
289;J0631+0646;9.010718;195.20;
290;J0631+1036;3.474635;125.36;
291;J0633+0632;3.362529;*;
292;J0633+1746;4.217640;2.89;
293;J0633-2015;0.307389;90.70;
294;J0635+0533;29.536430;*;
295;J0636-23;2.100840;59.12;
296;J0636-3044;253.436600;16.00;
297;J0636-4549;0.503881;26.31;
298;J0636+5129;348.559232;11.11;
299;J0641+07;*;52.00;
300;J0645+5158;112.949723;18.25;
301;J0645+80;1.520050;49.70;
302;J0646+0905;1.106301;147.85;
303;J0646-54;398.406375;40.10;
304;J0647+0913;0.809813;154.70;
305;J0648-27;0.239866;132.50;
306;J0652-0142;1.082188;116.30;
307;J0653+4706;210.526316;25.54;
308;J0653+8051;0.823424;33.32;
309;J0656-2228;0.816490;32.39;
310;J0656-5449;5.459800;67.50;
311;J0658+0022;1.775269;115.60;
312;J0659+1414;2.597884;13.94;
313;J0659-36;1.569859;83.40;
314;J0700+6418;5.110621;8.77;
315;J0702-4956;1.501516;98.70;
316;J0709+0458;29.045300;44.27;
317;J0709-5923;2.060715;65.00;
318;J0711+0931;0.823662;46.24;
319;J0711-6830;182.117235;18.41;
320;J0719-2545;1.025931;253.89;
321;J0720-3125;0.119174;*;
322;J0721-2038;64.340148;76.01;
323;J0725-1635;2.356760;98.98;
324;J0726-2612;0.290503;69.40;
325;J0729-1448;3.973635;91.89;
326;J0729-1836;1.960168;61.29;
327;J0732+2314;244.490583;44.67;
328;J0733-2345;0.556715;190.20;
329;J0734-1559;6.400000;*;
330;J0736-6304;0.205640;19.40;
331;J0737-2202;3.121426;95.59;
332;J0737-3039A;44.054069;48.92;
333;J0737-3039B;0.360560;48.92;
334;J0738-4042;2.667230;160.90;
335;J0738+6904;0.146462;17.22;
336;J0740+41;318.550975;20.82;
337;J0740+6620;346.531996;14.96;
338;J0742-2822;5.996559;73.73;
339;J0742+4334;1.649646;36.26;
340;J0744-2525;10.870000;*;
341;J0745-5353;4.654659;121.38;
342;J0746-4529;0.358291;134.57;
343;J0747+6646;2.452781;27.58;
344;J0749-4247;0.912865;104.59;
345;J0750+57;0.851154;26.70;
346;J0750-6846;1.092638;54.60;
347;J0751+1807;287.457854;30.25;
348;J0753-0816;0.477642;38.00;
349;J0754+3231;0.693313;39.99;
350;J0758-1528;1.465706;63.33;
351;J0758-30;0.915751;86.50;
352;J0802-5613;3.650000;*;
353;J0803-0942;1.750527;21.10;
354;J0803+34;*;34.00;
355;J0804-3647;0.456207;186.80;
356;J0806+08;0.484707;46.00;
