#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
738;J1308-5844;2.151927;205.60;
739;J1309-6415;1.614326;574.00;
740;J1309-6526;2.510720;340.00;
741;J1311-1228;2.234548;36.21;
742;J1311-3430;390.568393;37.84;
743;J1312+0051;236.517386;15.35;
744;J1312+1810A;30.153936;24.00;
745;J1312+1810B;160.256410;25.96;
746;J1312+1810C;79.808460;26.11;
747;J1312+1810D;164.744646;24.60;
748;J1312-5402;1.373335;133.00;
749;J1312-5516;1.177520;134.10;
750;J1312-6400;0.410268;93.00;
751;J1313+0931;1.177950;12.04;
752;J1314-6101;0.339168;309.00;
753;J1316-6232;2.916937;966.40;
754;J1317-0157;343.642612;29.39;
755;J1317-5759;0.378473;145.30;
756;J1317-6302;3.827450;678.10;
757;J1319-6056;3.516760;400.94;
758;J1319-6105;2.374631;440.60;
759;J1320-3512;2.181080;16.42;
760;J1320-5359;3.574778;97.10;
761;J1320+67;0.972176;28.00;
762;J1321-5922;0.781826;383.00;
763;J1321+8323;1.492454;13.32;
764;J1322-62;0.957074;733.60;
765;J1322-6241;1.976056;618.80;
766;J1322-6329;0.361767;659.00;
767;J1324-6146;1.184682;828.00;
768;J1324-6302;0.402608;497.00;
769;J1326+33;24.096386;4.19;
770;J1326-4728A;243.380880;100.31;
771;J1326-4728B;208.686833;100.27;
772;J1326-4728C;145.605762;100.68;
773;J1326-4728D;218.396237;96.54;
774;J1326-4728E;237.658566;94.38;
775;J1326-5859;2.092078;287.17;
776;J1326-6408;1.261553;502.70;
777;J1326-6700;1.841570;208.97;
778;J1327-0755;373.423704;27.91;
779;J1327-6222;1.887045;318.48;
780;J1327-6301;5.089578;294.91;
781;J1327-6400;3.562802;679.00;
782;J1328-4357;1.877233;42.00;
783;J1328-4921;0.676260;118.00;
784;J1329+13;*;12.00;
785;J1329-6158;0.638889;514.00;
786;J1331-5245;1.542932;148.40;
787;J1332-03;0.903832;27.10;
788;J1332-3032;1.537434;15.10;
789;J1333-4449;2.893494;44.30;
790;J1334+10;1.097574;24.00;
791;J1334-5839;9.283481;119.30;
792;J1335-3642;2.505060;41.82;
793;J1335-5656;308.860000;*;
794;J1336-2522;2.091414;37.39;
795;J1336+33;0.331895;8.50;
796;J1337-4441;0.795221;97.80;
797;J1337-6306;4.808779;777.70;
798;J1337-6423;106.118735;259.20;
799;J1338-6204;0.807102;640.30;
800;J1339-4712;7.296359;39.90;
801;J1339-6618;1.791539;241.00;
802;J1340-6456;2.641156;76.99;
803;J1341-6023;1.594171;364.60;
804;J1341-6220;5.172242;719.65;
805;J1342+2822A;392.967704;26.50;
806;J1342+2822B;418.511473;26.15;
807;J1342+2822C;461.680517;26.50;
808;J1342+2822D;183.723050;26.36;
809;J1342+2822E;182.815356;26.54;
810;J1342+2822F;227.272727;26.47;
811;J1343+6634;0.717307;30.03;
812;J1344-5855;3.961998;294.10;
813;J1344-6059;1.851501;435.00;
814;J1345-6115;0.798031;278.10;
815;J1346-4918;3.337504;74.42;
816;J1347-5947;1.639447;293.40;
817;J1348-6307;1.077851;597.00;
818;J1349-6130;3.855574;283.87;
819;J1349-63;2.680721;478.00;
820;J1350-5115;3.381809;90.39;
821;J1350-6225;7.238101;*;
822;J1352-6803;1.590071;214.60;
823;J1354+2454;0.159490;20.00;
824;J1354-6249;0.338760;254.00;
825;J1355-5153;1.552061;112.10;
826;J1355-5747;0.490515;229.00;
827;J1355-5925;0.824143;354.80;
828;J1355-6206;3.615289;547.00;
829;J1356-5521;1.970911;174.17;
830;J1357-62;2.194132;416.70;
831;J1357-6429;6.020168;128.50;
832;J1358-2533;1.095325;31.27;
833;J1358-6025;16.520000;*;
834;J1359-6038;7.842616;293.74;
835;J1400-1431;324.229692;4.93;
836;J1400+21;*;10.50;
837;J1400-6325;32.070194;563.00;
838;J1401-6357;1.186514;98.00;
839;J1402+13;169.779287;*;
840;J1402-5021;0.724542;51.00;
841;J1403-0314;2.757601;31.00;
842;J1403-6310;2.505197;305.00;
843;J1403-7646;0.765581;100.60;
844;J1404+1159;0.377296;18.50;
845;J1405-4656;131.540810;13.88;
846;J1405-5641;1.619237;273.00;
847;J1406-4233;0.410375;79.70;
848;J1406-5806;3.468017;229.00;
849;J1406-6121;4.693191;537.29;
850;J1407-6048;2.031099;575.20;
851;J1407-6153;1.425283;645.00;
852;J1409-6953;1.891823;167.63;
853;J1410-6132;19.979243;961.00;
854;J1410-7404;3.587709;54.24;
855;J1411+2551;16.012068;12.37;
856;J1412-6111;1.889800;311.80;
857;J1412-6145;3.172001;512.48;
858;J1412+7922;17.182405;*;
859;J1413-6141;3.501099;667.60;
860;J1413-6205;9.112390;*;
861;J1413-6222;3.419883;808.10;
862;J1413-6307;2.531993;121.98;
863;J1414-6802;0.215974;153.50;
864;J1415-6621;2.547907;260.17;
865;J1416-5033;1.258048;58.50;
866;J1416-6037;3.383173;289.20;
867;J1417-4402;375.344942;55.00;
868;J1418-3921;0.911738;60.49;
869;J1418-5945;0.597873;369.00;
870;J1418-6058;9.043798;*;
871;J1420-5416;1.068636;129.60;
872;J1420-5625;29.310788;64.56;
873;J1420-6048;14.667084;360.15;
874;J1421-4409;156.599196;54.64;
875;J1422-6138;2.932828;*;
876;J1423-6953;2.999304;123.98;
877;J1424-5556;1.298069;198.70;
878;J1424-56;0.700771;32.90;
879;J1424-5822;2.726756;323.90;
880;J1424-6438;0.977036;248.00;
881;J1425-5723;2.830753;43.40;
882;J1425-5759;1.412694;325.00;
883;J1425-6210;1.993103;430.10;
884;J1426+52;1.004218;25.37;
885;J1427-4158;1.705072;65.40;
886;J1428-5530;1.753486;82.40;
887;J1429-5911;8.632402;*;
888;J1429-5935;1.309046;456.70;
889;J1430+22;*;23.32;
890;J1430-5712;2.034510;149.00;
891;J1430-6623;1.273166;65.10;
892;J1431-4715;497.029394;59.35;
893;J1431-5740;243.276805;131.46;
894;J1431-6328;360.711889;228.27;
895;J1432-5032;0.491403;113.00;
896;J1433+00;*;23.50;
897;J1433-6038;0.511658;409.00;
898;J1434-5943;0.932730;126.00;
899;J1434-6006;3.264050;332.00;
900;J1434-6029;1.038046;282.00;
901;J1434+7257;23.957175;12.61;
902;J1435-5954;2.114181;44.26;
903;J1435-6100;106.975072;113.70;
904;J1437-5959;16.208474;549.60;
905;J1437-6146;2.138505;200.50;
906;J1439-5501;34.922434;14.56;
907;J1439+7655;1.054960;22.29;
908;J1440-6344;2.175773;124.20;
909;J1441-6137;0.850456;166.00;
910;J1443-5122;1.366006;87.00;
911;J1444-5941;0.362289;177.10;
912;J1444-6026;0.210147;367.70;
913;J1446-4701;455.644016;55.83;
914;J1447-5757;6.300000;*;
915;J1449-5846;2.158291;216.60;
916;J1452-5851;2.586366;260.50;
917;J1452-6036;6.451938;349.52;
918;J1453+1902;172.642910;14.06;
919;J1453-6413;5.571440;71.25;
920;J1454-5846;22.100047;115.95;
921;J1455-3330;125.200245;13.57;
922;J1455-59;5.675652;498.00;
923;J1456-48;1.862857;133.00;
924;J1456-6843;3.796840;8.61;
925;J1457-5122;0.571982;37.00;
926;J1457-5900;0.667273;175.00;
927;J1457-5902;2.559251;477.20;
928;J1459-6053;9.694559;*;
929;J1501-0046;2.155001;22.26;
930;J1501-5637;1.277223;258.00;
931;J1502+28;0.264271;14.00;
932;J1502+4653;0.570611;26.60;
933;J1502-5653;1.867398;194.00;
934;J1502-5828;1.496770;584.00;
935;J1502-6128;1.187502;256.50;
936;J1502-6752;37.390972;151.20;
937;J1503+2111;0.301750;3.26;
938;J1504-5621;2.421394;148.60;
939;J1504-5659;0.597953;454.20;
940;J1505-25;1.001001;44.70;
941;J1506-5158;1.189430;61.00;
942;J1507-4352;3.487255;48.70;
943;J1507-5800;1.114511;429.50;
944;J1507-6640;2.811703;129.80;
945;J1509+5531;1.351932;19.62;
946;J1509-5850;11.245449;142.10;
947;J1509-6015;2.949518;423.60;
948;J1510-4422;1.059466;84.00;
949;J1511-5414;4.990420;84.76;
950;J1511-5835;3.316634;329.40;
951;J1512-5431;0.490068;219.00;
952;J1512-5759;7.770094;627.47;
953;J1513-2550;471.905670;46.86;
954;J1513-5739;1.027266;469.70;
955;J1513-5908;6.597092;252.50;
956;J1513-5946;0.955916;171.70;
957;J1513-6013;0.510533;322.70;
958;J1514-4834;2.198574;51.50;
959;J1514-4946;278.603009;31.05;
960;J1514-5316;3.375195;27.10;
961;J1514-5925;6.720544;192.51;
962;J1515-5720;3.488596;480.60;
963;J1516-43;27.760652;70.30;
964;J1517-32;15.527492;25.30;
965;J1517-4356;1.536483;87.78;
966;J1517-4636;1.127888;127.00;
967;J1518+0204A;180.063625;30.08;
968;J1518+0204B;125.834588;29.47;
969;J1518+0204C;402.588228;29.31;
970;J1518+0204D;334.672021;29.30;
971;J1518+0204E;314.267756;29.30;
972;J1518+0204F;377.358491;29.40;
973;J1518-0627;1.257867;27.96;
974;J1518-3952;2.003222;102.40;
975;J1518+4904;24.428979;11.61;
976;J1518-5415;4.652790;167.20;
977;J1519-5734;1.927682;654.70;
978;J1519-6106;0.464186;221.00;
979;J1519-6308;0.797415;250.00;
980;J1522-5525;0.719629;79.00;
981;J1522-5735;9.790869;*;
982;J1522-5829;2.529376;199.90;
983;J1523-3235;0.664525;72.30;
984;J1524-20;*;40.10;
985;J1524-5625;12.784691;152.20;
986;J1524-5706;0.895917;832.00;
987;J1524-5819;1.040537;406.60;
988;J1525-5417;0.988441;235.00;
989;J1525-5523;2.815664;124.70;
990;J1525-5545;88.029085;126.93;
991;J1525-5605;3.566987;333.50;
992;J1526-2744;401.606426;*;
993;J1526-5633;3.312488;329.00;
994;J1527-3931;0.413632;48.80;
995;J1527-5552;0.953545;370.06;
996;J1528-3146;16.441357;18.16;
997;J1528-4109;1.899133;89.50;
998;J1528-5547;0.288409;269.00;
999;J1528-5838;2.811464;*;
1000;J1529-26;1.251564;44.60;
1001;J1529-3828;117.837233;73.62;
1002;J1529+40;2.099076;6.61;
1003;J1529-5355;1.122001;292.00;
1004;J1529-5611;1.216177;149.00;
1005;J1530-21;1.980198;38.05;
1006;J1530-5327;3.584764;49.60;
1007;J1530-6343;1.098515;206.00;
1008;J1531-4012;2.802303;106.65;
1009;J1531-5610;11.875629;110.41;
1010;J1532+2745;0.889019;14.69;
1011;J1532-5308;2.253142;181.00;
1012;J1532-56;1.912130;282.00;
1013;J1534-4428;0.818715;137.30;
1014;J1534-46;2.740965;64.40;
1015;J1534-5334;0.730523;24.82;
1016;J1534-5405;3.451979;190.82;
1017;J1535-4114;2.310183;66.28;
1018;J1535-4415;2.134920;110.70;
1019;J1535-5450;1.764496;219.80;
1020;J1535-5848;3.255445;107.00;
1021;J1536+17;1.071467;28.00;
1022;J1536-30;0.526039;63.60;
1023;J1536-3602;0.757714;86.80;
1024;J1536-4948;324.684384;38.00;
1025;J1536-5433;1.134509;147.50;
1026;J1536-5907;1.792627;316.00;
1027;J1537+1155;26.382133;11.62;
1028;J1537-4912;3.318833;69.70;
1029;J1537-5153;0.654397;93.00;
1030;J1537-5312;144.360649;117.52;
1031;J1537-5645;2.323074;707.00;
1032;J1538+2345;0.289907;14.91;
1033;J1538-5438;3.613681;136.90;
1034;J1538-5519;2.526971;611.00;
1035;J1538-5551;9.553297;602.67;
1036;J1538-5621;0.523973;150.00;
1037;J1538-5638;1.184862;546.00;
1038;J1538-5732;2.930722;152.70;
1039;J1538-5750;1.974067;91.00;
1040;J1539-4828;0.785644;117.00;
1041;J1539-5521;0.995066;380.00;
1042;J1539-5626;4.108545;175.85;
1043;J1539-6322;0.613179;163.50;
1044;J1540-5736;1.631544;304.50;
1045;J1541-42;*;60.00;
1046;J1541-5535;3.380233;426.10;
1047;J1542-5034;1.668758;91.00;
1048;J1542-5133;0.560581;186.00;
1049;J1542-5303;0.828111;265.70;
1050;J1543-0620;1.410310;18.30;
1051;J1543+0929;1.336097;34.98;
1052;J1543-5013;1.552180;211.00;
1053;J1543-5149;486.154232;50.93;
1054;J1543-5459;2.651551;344.99;
1055;J1544-0713;2.065562;30.73;
1056;J1544+4937;463.115536;23.23;
1057;J1544-5308;5.600551;35.16;
1058;J1545-4550;279.697699;68.42;
1059;J1546-3747A;383.778121;92.17;
1060;J1546-5302;1.721645;287.00;
1061;J1546-59;128.205128;168.30;
1062;J1547-0944;0.634146;37.42;
1063;J1547-5709;233.037978;95.73;
1064;J1547-5750;1.545123;148.00;
1065;J1547-5839;4.128984;222.30;
1066;J1548-4821;6.865552;126.00;
1067;J1548-4927;1.659095;141.20;
1068;J1548-5607;5.850076;314.66;
1069;J1549+2113;0.792097;24.06;
1070;J1549-4848;3.467949;55.98;
1071;J1549-57;1.355932;17.70;
1072;J1549-5722;2.008950;102.00;
1073;J1550-5242;1.333940;337.70;
1074;J1550-5317;0.703668;600.00;
1075;J1550-5418;0.483131;830.00;
1076;J1551-0658;141.043724;21.60;
1077;J1551-4424;1.483547;66.50;
1078;J1551-5310;2.205326;491.60;
1079;J1551-6214;5.029204;122.00;
1080;J1552-4937;159.126424;114.19;
1081;J1552+5437;411.880531;22.90;
1082;J1553-5456;0.924772;210.00;
1083;J1554+18;*;24.00;
1084;J1554-5209;7.985335;130.80;
1085;J1554-5512;0.292565;450.00;
1086;J1555+01;*;18.50;
1087;J1555-0515;1.025210;23.46;
1088;J1555-2341;1.877660;51.90;
1089;J1555-2908;559.440006;75.90;
1090;J1555-3134;1.930093;73.05;
1091;J1556-5358;1.005348;436.00;
1092;J1557-4258;3.037788;144.50;
1093;J1557-5151;2.450051;464.00;
1094;J1558-5419;1.681873;657.00;
1095;J1558-5756;0.890994;127.80;
1096;J1558-67;3.741563;105.00;
1097;J1559-44;0.854781;122.00;
1098;J1559-4438;3.890201;55.94;
1099;J1559-5545;1.044641;212.90;
1100;J1600-3053;277.937707;52.36;
1101;J1600-5044;5.191976;262.79;
1102;J1600-5751;5.142554;176.55;
1103;J1600-5916;0.801496;177.00;
1104;J1601-50;1.161741;59.00;
1105;J1601-5244;0.390723;273.00;
1106;J1601-5335;3.466453;195.20;
1107;J1602-4957;1.219527;319.00;
1108;J1602-5100;1.157024;170.79;
1109;J1603-1655;1.399188;63.22;
1110;J1603+18;1.988072;29.70;
1111;J1603-2531;3.532679;53.76;
1112;J1603-2712;1.284830;46.20;
1113;J1603-3539;7.046790;77.50;
1114;J1603-5312;1.191582;142.00;
1115;J1603-5657;2.015816;264.07;
1116;J1603-7202;67.376581;38.04;
1117;J1604-3142;1.131362;58.30;
1118;J1604-44;0.719839;175.00;
1119;J1604-4718;1.895857;55.10;
1120;J1604-4909;3.054195;140.80;
1121;J1604-7203;2.929090;54.37;
1122;J1605+3249;0.145349;*;
1123;J1605-5215;0.986574;532.00;
1124;J1605-5257;1.519726;34.90;
1125;J1607-0032;2.370701;10.68;
1126;J1607-5140;2.917810;533.00;
1127;J1607-6449;3.354395;89.39;
1128;J1609-1930;0.641883;37.00;
1129;J1609-4616;4.006267;150.10;
1130;J1609-5158;0.781615;1069.00;
1131;J1610-1322;0.981939;49.13;
1132;J1610-17;*;52.50;
1133;J1610-5006;2.078488;410.00;
1134;J1610-5303;1.271508;380.10;
1135;J1611-01;0.771087;27.21;
1136;J1611-29;104.166667;83.03;
1137;J1611-4811;0.771099;221.00;
1138;J1611-4949;1.500515;556.80;
1139;J1611-5209;5.479608;127.34;
1140;J1611-5847;2.820474;79.90;
1141;J1612+2008;2.343864;19.51;
1142;J1612-2408;1.082446;49.20;
1143;J1612-49;5.189759;439.00;
1144;J1612-5022;0.730843;248.70;
1145;J1612-5136;2.069063;1173.00;
1146;J1612-55;1.180767;312.00;
1147;J1612-5805;1.624641;171.30;
1148;J1613-4714;2.615222;161.20;
1149;J1613-5211;2.185784;360.10;
1150;J1613-5234;1.526204;624.00;
1151;J1614+0737;0.828637;21.39;
1152;J1614-2230;317.378942;34.49;
1153;J1614-23;29.850746;52.40;
1154;J1614-3846;2.154679;111.00;
1155;J1614-3937;2.455239;152.44;
1156;J1614-5048;4.316041;582.40;
1157;J1614-5144;0.651887;748.00;
1158;J1614-5402;1.746443;300.00;
1159;J1615-2940;0.403622;44.79;
1160;J1615-4958;1.791288;240.70;
1161;J1615-5137;5.577867;*;
1162;J1615-5444;2.770408;312.60;
1163;J1615-5537;1.263383;124.48;
1164;J1616-5017;2.035068;194.00;
1165;J1616-5109;0.819945;1160.00;
1166;J1616-5208;0.974820;488.00;
1167;J1617-4216;0.291676;163.60;
1168;J1617-4608;1.763419;321.50;
1169;J1617-5055;14.418187;467.00;
1170;J1618-36;173.047894;104.00;
1171;J1618-3921;83.421561;117.97;
1172;J1618-4624;168.595185;125.36;
1173;J1618-4723;4.912728;134.70;
1174;J1619-3345;0.863111;89.70;
1175;J1619-42;0.977372;172.00;
1176;J1620-4927;5.816163;*;
1177;J1620-5414;0.864782;71.00;
1178;J1621-5039;0.922492;261.00;
1179;J1621-5243;2.688720;363.00;
1180;J1622-0315;260.049004;21.40;
1181;J1622-3751;1.367124;155.70;
1182;J1622-4332;1.090587;230.68;
1183;J1622-4347;2.184926;177.00;
1184;J1622-4802;3.772557;364.30;
1185;J1622-4845;1.360375;292.00;
1186;J1622-4944;0.931994;755.00;
1187;J1622-4950;0.231106;820.00;
1188;J1622-6617;42.330829;88.02;
1189;J1623-0841;1.988012;59.79;
1190;J1623-0908;0.783425;68.18;
1191;J1623-2631;90.287332;62.86;
1192;J1623-4256;2.742796;295.00;
1193;J1623-4949;1.377919;183.30;
1194;J1623-5005;11.754729;*;
1195;J1624-39;337.837838;77.50;
1196;J1624-4041;5.957305;*;
1197;J1624-4411;4.288825;139.40;
1198;J1624-4613;1.147786;224.20;
1199;J1624-4721;2.228545;364.00;
1200;J1624+5850;1.534211;26.40;
1201;J1624+8643;2.526765;46.55;
1202;J1625-0021;352.906233;16.50;
1203;J1625-4048;0.424578;145.00;
1204;J1625-4904;2.172310;684.80;
1205;J1625-4913;2.810123;720.00;
1206;J1626-44;3.243030;269.20;
1207;J1626-4537;2.701672;237.00;
1208;J1626-4807;3.402192;817.00;
1209;J1626-6621;2.217945;84.11;
1210;J1627+1419;2.037254;32.17;
1211;J1627+3219;458.715596;*;
1212;J1627-4706;7.105007;456.10;
1213;J1627-4845;1.633105;557.80;
1214;J1627-49;1.603391;594.00;
1215;J1627-51;2.274361;201.00;
1216;J1627-5547;2.837167;166.20;
1217;J1627-5936;2.822993;99.30;
1218;J1628-3205;311.526480;42.10;
1219;J1628+4406;5.519419;7.33;
1220;J1628-4804;1.154773;952.00;
1221;J1628-4828;0.241690;1209.00;
1222;J1629+33;0.655738;35.00;
1223;J1629-3636;0.334650;101.00;
1224;J1629-3825;1.899824;127.90;
1225;J1629+43;5.524862;7.37;
1226;J1629-6902;166.649906;29.49;
1227;J1630-2609;0.522898;76.60;
1228;J1630+3734;301.376193;14.18;
1229;J1630-4719;1.788681;487.20;
1230;J1630-4733;1.736197;509.30;
1231;J1631-1612;1.475614;33.77;
1232;J1631-4155;1.814088;235.00;
1233;J1632-1013;1.393462;89.90;
1234;J1632-4509;0.955283;412.00;
1235;J1632-4621;0.585085;559.83;
1236;J1632-4757;4.375053;574.20;
1237;J1632-4818;1.228996;758.00;
1238;J1633-2009;1.068882;48.19;
1239;J1633-4453;2.290916;472.22;
1240;J1633-4805;1.406806;1120.00;
1241;J1633-5015;2.839736;398.41;
1242;J1634+02;471.698113;*;
1243;J1634-4229;0.496213;337.90;
1244;J1634-49;1.459989;649.00;
1245;J1634-5107;1.971003;372.80;
1246;J1634-5640;4.460280;148.00;
1247;J1635-1511;0.847898;54.00;
1248;J1635+2332;0.827339;37.57;
1249;J1635+2418;2.038709;24.27;
1250;J1635-4513;0.627059;416.00;
1251;J1635-4735;0.385419;*;
1252;J1635-4944;1.488175;474.00;
1253;J1635-5954;1.889926;134.90;
1254;J1636-2614;1.959041;92.72;
1255;J1636-4440;4.839135;449.00;
1256;J1636-4803;0.830121;503.00;
1257;J1636-4933;2.323601;542.70;
1258;J1637-0314A;505.056564;82.10;
1259;J1637-0314B;117.370892;81.00;
1260;J1637-0314C;118.203310;80.00;
1261;J1637-0314D;346.020761;78.80;
1262;J1637-0314E;438.596491;80.40;
1263;J1637-4335;1.296401;608.00;
1264;J1637-4450;3.954604;470.70;
1265;J1637-4553;8.419397;193.23;
1266;J1637-46;2.028023;660.40;
1267;J1637-4642;6.491542;419.10;
1268;J1637-4721;0.857823;448.00;
1269;J1637-4816;1.194222;738.00;
1270;J1638-35;1.418440;115.10;
1271;J1638-3815;1.432130;238.00;
1272;J1638-3951;1.296798;249.00;
1273;J1638+4005;1.302558;33.42;
1274;J1638-4233;1.957218;406.00;
1275;J1638-4344;0.891310;237.00;
1276;J1638-44;1.760388;494.00;
1277;J1638-4417;8.488820;436.40;
1278;J1638-4608;3.595121;423.10;
1279;J1638-4725;1.309014;552.10;
1280;J1638-5226;2.936834;170.10;
1281;J1639-4359;1.701957;258.90;
1282;J1639-4604;3.779891;258.91;
1283;J1640+2224;316.123984;18.46;
1284;J1640-4631;4.843951;*;
1285;J1640-4648;5.606888;474.00;
1286;J1640-4715;1.932628;586.32;
1287;J1640-4951;1.352999;407.40;
1288;J1641-2347;0.916583;27.70;
1289;J1641+3627A;96.362235;30.44;
1290;J1641+3627B;283.440943;29.45;
1291;J1641+3627C;268.666866;30.13;
1292;J1641+3627D;320.688696;30.45;
1293;J1641+3627E;402.093702;30.54;
1294;J1641+3627F;332.944805;30.37;
1295;J1641-5317;5.710818;*;
1296;J1641+8049;494.760637;31.09;
1297;J1643-10;*;75.85;
1298;J1643-1224;216.373337;62.42;
1299;J1643+1338;0.909879;35.82;
1300;J1643-4505;4.212470;478.60;
1301;J1643-4522;0.741895;482.00;
1302;J1643-4550;1.393713;450.80;
1303;J1644-33;2.518892;130.30;
1304;J1644-44;5.750081;535.10;
1305;J1644-4559;2.197425;478.66;
1306;J1644-46;3.985007;405.80;
1307;J1644-4657;7.938888;718.00;
1308;J1645-0317;2.579382;35.76;
1309;J1645+1012;2.433915;36.17;
1310;J1646-1910;0.207566;55.00;
1311;J1646-2142;170.940171;29.73;
1312;J1646-4308;1.189513;595.00;
1313;J1646-4346;4.317727;490.40;
1314;J1646-5123;1.886525;279.00;
1315;J1646-6831;0.560032;43.00;
1316;J1647-3607;4.709952;228.50;
1317;J1647-4552;0.094245;*;
1318;J1647+6608;0.625079;22.55;
1319;J1648-3256;1.389941;128.28;
1320;J1648-4458;1.588230;925.00;
1321;J1648-4611;6.062161;392.30;
1322;J1648-6044;1.713018;106.20;
1323;J1649+2533;0.984972;34.46;
1324;J1649-3012;292.020000;*;
1325;J1649-3805;3.816420;213.80;
1326;J1649-3935;1.297169;290.00;
1327;J1649-4349;1.148486;398.60;
1328;J1649-4653;1.795215;331.00;
1329;J1649-4729;3.359174;540.20;
1330;J1649-5553;1.629804;180.40;
1331;J1650-1654;0.571575;43.25;
1332;J1650-4126;3.237108;251.50;
1333;J1650-4341;3.232079;672.80;
1334;J1650-4502;2.625569;320.20;
1335;J1650-4601;7.866404;*;
1336;J1650-4921;6.393873;229.30;
1337;J1651+14;1.207729;48.00;
1338;J1651-1709;1.027334;33.46;
1339;J1651-4246;1.184721;482.00;
1340;J1651-4519;1.932579;562.00;
1341;J1651-5222;1.574659;179.10;
1342;J1651-5255;1.122919;164.00;
1343;J1651-7642;0.569700;59.90;
1344;J1652-1400;3.273890;49.50;
1345;J1652-2404;0.586944;68.41;
1346;J1652+2651;1.091937;40.80;
1347;J1652-4406;0.129749;786.00;
1348;J1652-48;264.192151;187.80;
1349;J1653-0158;508.212195;*;
1350;J1653-2054;242.180871;56.56;
1351;J1653-3838;3.278287;207.20;
1352;J1653-4030;0.980997;425.00;
1353;J1653-4105;2.004096;419.40;
1354;J1653-4249;1.632498;416.10;
1355;J1653-4315;2.385042;337.00;
1356;J1653-45;1.051550;207.00;
1357;J1653-4854;0.326850;354.00;
1358;J1654-23;1.833652;74.50;
1359;J1654-2636;0.615866;103.30;
1360;J1654-2713;1.262909;92.31;
1361;J1654-3710;1.064775;302.00;
1362;J1654-4140;0.784963;307.00;
1363;J1654-4245;0.907808;950.00;
1364;J1655-3048;1.841838;154.10;
1365;J1655-3844;0.837914;365.00;
1366;J1656+00;0.667624;46.90;
1367;J1656-3621;1.369612;229.00;
1368;J1656+6203;1.288402;35.26;
1369;J1657-0406A;211.416490;43.90;
1370;J1657-0406B;136.054422;43.35;
1371;J1657+3304;0.636831;23.97;
1372;J1657-4432;1.640401;375.30;
1373;J1658-2823;0.297646;85.50;
1374;J1658+3630;30.277357;3.04;
1375;J1658-4306;0.857303;845.00;
1376;J1658-47;2.707350;533.00;
1377;J1658-4958;2.398808;193.40;
1378;J1658-5324;409.954363;30.81;
1379;J1659-1305;1.560164;60.37;
1380;J1659-4316;2.108008;640.90;
1381;J1659-4439;2.830512;535.00;
1382;J1659-54;1.836300;134.00;
1383;J1700-0954;1.223524;64.10;
1384;J1700-3312;0.736211;166.97;
1385;J1700-3611;0.669303;232.70;
1386;J1700-3919;1.784110;354.30;
1387;J1700-4012;3.523709;385.00;
1388;J1700-4422;1.323565;404.90;
1389;J1700-4939;1.729017;278.00;
1390;J1701-3006A;190.782671;114.97;
1391;J1701-3006B;278.252962;115.21;
1392;J1701-3006C;131.356873;114.56;
1393;J1701-3006D;292.588404;114.22;
1394;J1701-3006E;309.239712;113.79;
1395;J1701-3006F;435.781670;113.29;
1396;J1701-3006G;217.009055;113.68;
1397;J1701-3130;3.432398;130.73;
1398;J1701-3726;0.407395;303.40;
1399;J1701-4533;3.096852;526.00;
1400;J1701-4958;1.243311;230.00;
1401;J1702-3932;2.561948;530.00;
1402;J1702-4128;5.490409;365.75;
1403;J1702-4217;4.394350;629.00;
1404;J1702-4306;4.640189;538.40;
1405;J1702-4310;4.157592;377.60;
1406;J1702-4428;0.470919;395.00;
1407;J1703-18;0.787253;46.00;
1408;J1703-1846;1.243254;49.55;
1409;J1703-3241;0.825229;110.31;
1410;J1703-38;0.155207;375.00;
1411;J1703-4442;0.572314;280.20;
1412;J1703-4851;0.716125;150.29;
1413;J1704-3756;3.276170;405.70;
1414;J1704-5236;4.334474;170.00;
1415;J1704-6016;3.264528;54.00;
1416;J1705-04;4.210881;42.95;
1417;J1705-1903;403.190040;58.00;
1418;J1705-1906;3.344622;22.91;
1419;J1705-3423;3.915016;146.40;
1420;J1705-3936;1.170300;598.00;
1421;J1705-3950;3.135371;207.25;
1422;J1705-4108;1.161349;1077.00;
1423;J1705-4331;4.493148;185.24;
1424;J1705-6135;1.236788;95.00;
1425;J1706-3839;1.705648;626.00;
1426;J1706-4310;1.620801;656.10;
1427;J1706-4434;2.326001;467.00;
1428;J1706+59;0.677192;30.80;
1429;J1706-6118;2.763031;76.13;
1430;J1707+35;6.257822;19.24;
1431;J1707-4053;1.721118;351.78;
1432;J1707-4341;1.122845;398.20;
1433;J1707-4417;0.173497;380.00;
1434;J1707-4729;3.752716;268.30;
1435;J1708+02;2.434441;29.00;
1436;J1708-3426;1.444845;188.70;
1437;J1708-3506;221.967751;146.73;
1438;J1708-3641;1.701934;316.00;
1439;J1708-3827;0.815806;788.00;
1440;J1708-4008;0.090857;*;
1441;J1708-4522;0.770513;454.00;
1442;J1708-52;2.224100;102.60;
1443;J1708-7539;0.839614;37.00;
1444;J1709-1640;1.531267;24.89;
1445;J1709+2313;215.926931;25.35;
1446;J1709-3626;2.232855;393.60;
1447;J1709-3841;1.703618;356.00;
1448;J1709-43;*;228.00;
1449;J1709-4342;0.576071;281.00;
1450;J1709-4401;1.155755;225.80;
1451;J1709-4429;9.759978;75.59;
1452;J1710-2616;1.048044;110.00;
1453;J1710-37;1.261576;346.00;
1454;J1710-4148;3.489656;461.00;
